Date,de,uk,it,es,tr,ie,pt,gr,hu,maxtrsh,mintrsh
2017-09-13,46.41,63.40,37.85,48.68,35.71,37.38,33.05,48.07,50.50,40.20,35.20
2017-09-14,72.37,63.49,50.04,56.03,20.90,71.78,49.74,36.54,33.92,40.20,35.20
2017-09-15,28.83,64.77,47.01,42.90,19.03,35.47,34.71,42.98,49.11,40.20,35.20
2017-09-16,43.97,52.83,46.16,43.46,29.71,31.74,40.83,43.07,51.00,40.20,35.20
2017-09-17,41.85,66.06,45.46,41.99,26.39,31.57,38.11,40.92,50.50,40.20,35.20
2017-09-18,42.39,43.43,53.24,44.48,28.91,28.81,31.07,39.63,53.46,40.20,35.20
2017-09-19,49.54,49.59,53.40,46.71,21.80,45.96,44.49,46.75,48.79,40.20,35.20
2017-09-20,52.68,57.17,42.28,54.09,32.25,33.38,39.50,40.26,44.87,40.20,35.20
2017-09-21,39.48,66.39,45.61,49.78,29.31,29.64,44.56,48.15,47.98,40.20,35.20
2017-09-22,38.06,42.62,48.22,42.90,23.27,42.35,49.78,48.11,38.82,40.20,35.20
2017-09-23,46.09,45.54,39.08,52.64,29.37,41.65,42.70,48.07,45.88,40.20,35.20
2017-09-24,42.62,69.85,38.79,39.36,28.94,28.72,43.21,48.28,39.61,40.20,35.20
2017-09-25,46.54,50.73,40.49,46.32,26.89,37.08,44.21,47.83,37.68,40.20,35.20
2017-09-26,44.41,39.55,39.87,35.39,28.82,38.13,37.03,41.06,47.59,40.20,35.20
2017-09-27,48.73,41.96,44.67,50.35,24.17,36.43,29.95,43.73,32.46,40.20,35.20
2017-09-28,51.23,55.65,47.29,40.37,26.31,24.62,38.51,43.52,44.20,40.20,35.20
